track_id,track_artist,track_popularity,track_album_id,track_album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_album_release_date_converted,track_album_release_date_year,playlist_count_per_song,duration_minutes,playlist_genre_count_per_song
0xqs5lplyqu8aczuc2ugow,l1nd,23,7mhm3vmbmntbht0yoa4ir5,2019-12-06,0.791,0.834,6,-7.113,0,0.0608,0.00965,0.475,0.0799,0.327,127.998,2019-12-06,2019.0,1,2.56,1
0xq7fpqaljgihsb605yumy,marilyn manson,54,7fmotydqn9dixcy1ydrl4s,2004-01-01,0.218,0.576,8,-6.938,1,0.0387,0.0044,0.647,0.184,0.14,185.987,2004-01-01,2004.0,1,4.86,1
0xpzzprsyxxsvqcqyb6ieh,boyz ii men,15,7jnlsjwnuf50dgz5jhbgbo,2009-01-01,0.717,0.91,7,-7.256,1,0.072,0.00427,0.158,0.347,0.648,113.728,2009-01-01,2009.0,1,4.12,1
0xpofvi0cisuhf3anmczdk,casiopea,0,5xcotqg63v60ns82pmqmbe,2010-08-10,0.64,0.765,7,-11.686,1,0.04,0.00743,0.924,0.0462,0.762,138.177,2010-08-10,2010.0,1,3.55,1
0xpeowpzqlqpgfyzxdu2hj,drake,1,7ix0fs4f1lk42c3rix5rhg,2017-03-18,0.903,0.439,8,-11.813,1,0.397,0.0407,0.0,0.138,0.532,139.112,2017-03-18,2017.0,1,5.13,1
0xpc0cpl0kaawaoe2aq8st,jay portal,15,7mxrj69jl6jqtsm0uzpug2,2019-03-08,0.748,0.617,1,-8.348,0,0.135,0.217,0.0,0.116,0.487,173.0,2019-03-08,2019.0,1,2.13,1
0xpbr84t3ftm9j4d1mdptk,genesis,60,632b0oxufpsta4do2cukdg,1986-06-09,0.659,0.878,0,-5.987,1,0.0298,0.339,0.000543,0.0731,0.843,131.037,1986-06-09,1986.0,1,3.49,1
0xosiqxmlsweskfglwe5c5,eminem,0,22bdidvioswmmyehqxz7jw,2013-11-05,0.778,0.942,9,-2.525,1,0.178,0.355,0.0,0.626,0.687,105.517,2013-11-05,2013.0,1,4.95,1
0xorfaxxl07btes8iaj7od,coin,54,59f5u8tft9i1rhw3s9yb8z,2020-01-16,0.528,0.619,2,-6.959,1,0.0282,0.0029,0.0,0.291,0.0845,102.951,2020-01-16,2020.0,1,3.92,1
0xofj634crtl8z9n5gxh2s,stvcks,4,007354clf8nvibrn7gwns9,2018-03-02,0.673,0.943,10,-3.604,0,0.0481,0.0448,3.83e-06,0.101,0.0358,127.999,2018-03-02,2018.0,1,2.86,1
0xofha7zvvz0qtsgfo2lhx,,32,2dbygh5vlvagyjwrnjwp4w,2019-09-27,0.707,0.641,11,-4.842,1,0.0666,0.00412,0.000184,0.338,0.538,146.066,2019-09-27,2019.0,1,2.79,1
0xo1kk7qiugvk8t3fzdm4w,ilira,48,0fdeew1vjvo8hcujuoyjrd,2019-07-26,0.79,0.81,9,-3.452,1,0.0612,0.0137,0.0,0.0755,0.607,120.092,2019-07-26,2019.0,1,3.14,1
0xmtcqwhgf6doxjeljxrzr,tyrese,48,1srj4xgmwliqdwqug81oba,1998-08-31,0.541,0.701,7,-7.287,0,0.102,0.0761,0.0,0.0763,0.334,80.057,1998-08-31,1998.0,1,4.44,1
0xmigpqy1jq9gxhk4kw6uk,shindy,50,5xjfzudqpdsr7irvz4enjs,2013-07-12,0.484,0.855,6,-4.852,0,0.321,0.00269,0.000157,0.276,0.619,130.554,2013-07-12,2013.0,1,3.4,1
0xmfflylysm94u8bsp3wno,t rex,4,3nvakf8dkalywdzqabfo1s,2011-01-01,0.709,0.807,2,-9.831,1,0.0616,0.0861,0.478,0.609,0.912,125.998,2011-01-01,2011.0,1,4.4,1
0xmeekgnezdoieio8iysus,topic,51,3hfmtlhxipbd2rmxqx972w,2018-01-26,0.657,0.66,1,-5.129,0,0.0983,0.0877,0.0,0.133,0.421,155.926,2018-01-26,2018.0,1,3.42,1
0xmd5bcwtbyxs7wprbtza6,ellie goulding,65,3kveczhxwg5yfkb0gs62f2,2013-01-01,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,2013-01-01,2013.0,2,3.85,2
