,track_id,track_popularity,track_album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_album_release_date_converted,playlist_count_per_song,duration_minutes,playlist_genre_count_per_song,track_artist_na,track_album_release_date_na,danceability_na,energy_na,loudness_na,speechiness_na,acousticness_na,track_album_release_year,track_album_release_month,language_category,track_artist_type
11825,6fsqrrpblgsrfeaeiqqytm,62,6k1iylszwos7sgavxlj8kt,0.729,0.818,2,-9.992,1,0.0732,0.157,0.25075871834718305,0.195,0.907,125.811,1971-09-24,2,4.45,2,0,0,0,0,0,0,0,1971,9,English,Male
11826,4vo9dmznrqdhfy3jd1a3p7,68,2twvzmp9evryqmwyjplzjp,0.58,0.624,9,-8.346,1,0.0784,0.0975,0.0,0.0411,0.639,139.72,01/01/1970,3,2.52,3,0,1,0,0,0,0,0,2020,1,Not English,Male
11827,3x2bxiu0o4wbspkawxlfda,17,6lrjf97hgxhj8umlhycdbh,0.651,0.661,9,-6.1344981830618615,1,0.0511,0.265,0.0031251117474975247,0.106,0.489,156.371,1978-08-18,3,6.31,3,0,0,0,0,1,0,0,1978,8,English,Male
11828,6tom0uwxtpko9cmpbpgyvm,71,1jwmehn3ggal6isoylfwbn,0.6721834617664493,0.751,9,-9.584,1,0.0472,0.2,0.0,0.17,0.789,89.839,1967-01-04,3,2.43,3,0,0,1,0,0,0,0,1967,1,English,Male
11830,3kpwt1lbpt1jvshz8gxero,68,1lgpuiospmevbb4nhxcnio,0.543,0.529,7,-9.717,1,0.0301,0.326,0.002686388425307569,0.709,0.746,85.126,01/01/1975,3,5.23,3,0,1,0,0,0,0,0,2020,1,Not English,Male
11831,5uujhda7wtffgbklh491ki,16,3iqho2ukdukas83dzamqij,0.71,0.763,0,-6.693,1,0.0279,0.09201242508262543,9.629536345271307e-05,0.0581,0.508,115.579,1978-05-05,1,3.39,1,0,0,0,0,0,0,1,1978,5,English,Male
11832,45s88xopo6kvhc0pq05agg,56,4upv5zjkkmiubjfnthfqih,0.6721834617664493,0.787,0,-7.93,0,0.069,0.14,0.0,0.292,0.716,94.798,1966-04-01,3,3.31,3,0,0,1,0,0,0,0,1966,4,Not English,Male
11833,1zhrreyooefv6txdoyipwu,67,0fjjolqg3v7vxryhz2wxpc,0.564,0.645,0,-6.1344981830618615,1,0.0484,0.0552,2.839995967267097e-06,0.151,0.836,99.302,1976-01-01,2,2.84,2,0,0,0,0,1,0,0,1976,1,English,Band
11834,3x1v32i3sznvc7q7bdhcgm,62,32xyhzhlggsdvs1e7qihra,0.543,0.7347140853536365,2,-6.1344981830618615,1,0.0414,0.334,0.0,0.044,0.649,168.169,1976-10-29,2,4.31,2,0,0,0,1,1,0,0,1976,10,Not English,Male
11835,6htcuiqa0sxrrbyu9wtd7s,73,43yiohksrew2gjswmhzipu,0.6721834617664493,0.944,4,-4.199,1,0.0975,0.00501,2.0499789877850533e-05,0.116,0.606,146.347,1975-08-25,2,4.5,2,0,0,1,0,0,0,0,1975,8,English,Male
11836,0hmnaux9ffbdyqro5foqvl,15,1nfo7mb6lv2xmdkeqsykjt,0.6721834617664493,0.682,2,-6.1344981830618615,1,0.0314,0.0534,0.003284599791216278,0.142,0.693,122.304,1970-08-01,2,5.04,2,0,0,1,0,1,0,0,1970,8,Not English,Male
11837,1xmhxztby7ijeyhecrouza,35,5eqfmvtr3ryldwig7dh7gz,0.61,0.825,2,-9.316,0,0.0515,0.117,0.0023771722857512676,0.153,0.841,129.3,01/01/2002,1,2.95,1,0,1,0,0,0,0,0,2020,1,English,Female
